Time[ms], Volt[V], Angle[degree], AngleVel[rad/s]
2, 0.000, 361.000, 0.000
4, 6.004, 293.818, 52.224
6, 6.008, 293.818, 47.493
8, 6.011, 293.994, 43.075
10, 6.015, 293.994, 39.160
12, 6.019, 294.082, 35.534
14, 6.023, 294.258, 32.173
16, 6.026, 294.434, 29.103
18, 6.030, 294.521, 26.399
20, 6.034, 294.785, 23.790
22, 6.038, 295.049, 21.419
24, 6.041, 295.312, 19.264
26, 6.045, 295.576, 17.300
28, 6.049, 295.928, 15.456
30, 6.053, 296.191, 13.843
32, 6.057, 296.455, 12.378
34, 6.060, 296.895, 10.905
36, 6.064, 297.246, 9.637
38, 6.068, 297.510, 8.552
40, 6.072, 298.037, 7.357
42, 6.075, 298.389, 6.411
44, 6.079, 298.740, 5.550
46, 6.083, 299.180, 4.697
48, 6.087, 299.619, 3.920
50, 6.090, 300.059, 3.217
52, 6.094, 300.498, 2.575
54, 6.098, 300.938, 1.992
56, 6.102, 301.465, 1.392
58, 6.106, 301.992, 0.847
60, 6.109, 302.432, 0.421
62, 6.113, 303.135, -0.175
64, 6.117, 303.662, -0.577
66, 6.121, 304.102, -0.873
68, 6.124, 304.717, -1.281
70, 6.128, 305.244, -1.583
72, 6.132, 305.859, -1.928
74, 6.136, 306.475, -2.241
76, 6.139, 307.090, -2.526
78, 6.143, 307.793, -2.854
80, 6.147, 308.408, -3.084
82, 6.151, 309.111, -3.361
84, 6.155, 309.727, -3.545
86, 6.158, 310.518, -3.850
88, 6.162, 311.309, -4.127
90, 6.166, 311.924, -4.242
92, 6.170, 312.715, -4.484
94, 6.173, 313.418, -4.635
96, 6.177, 314.209, -4.841
98, 6.181, 315.088, -5.100
100, 6.185, 315.879, -5.266
102, 6.188, 316.582, -5.343
104, 6.192, 317.373, -5.489
106, 6.196, 318.252, -5.686
108, 6.200, 319.131, -5.867
110, 6.204, 320.010, -6.033
112, 6.207, 320.889, -6.182
114, 6.211, 321.768, -6.318
116, 6.215, 322.734, -6.511
118, 6.219, 323.701, -6.687
120, 6.222, 324.668, -6.846
122, 6.226, 325.547, -6.923
124, 6.230, 326.689, -7.199
126, 6.234, 327.744, -7.382
128, 6.237, 328.623, -7.410
130, 6.241, 329.678, -7.574
132, 6.245, 330.820, -7.792
134, 6.249, 331.787, -7.852
136, 6.253, 332.930, -8.047
138, 6.256, 334.072, -8.220
140, 6.260, 335.215, -8.383
142, 6.264, 336.357, -8.527
144, 6.268, 337.588, -8.730
146, 6.271, 338.643, -8.773
148, 6.275, 339.873, -8.954
150, 6.279, 341.104, -9.118
152, 6.283, 342.422, -9.335
154, 6.286, 343.652, -9.464
156, 6.290, 345.146, -9.789
158, 6.294, 346.377, -9.878
160, 6.298, 347.695, -10.026
162, 6.301, 348.926, -10.092
164, 6.305, 350.244, -10.223
166, 6.309, 351.738, -10.482
168, 6.313, 353.145, -10.644
170, 6.317, 354.551, -10.796
172, 6.320, 355.957, -10.925
174, 6.324, 357.451, -11.122
176, 6.328, 358.857, -11.227
178, 6.332, 0.615, -11.597
180, 6.335, 2.021, -11.664
182, 6.339, 3.428, -11.723
184, 6.343, 5.010, -11.912
186, 6.347, 6.680, -12.154
188, 6.350, 8.174, -12.231
190, 6.354, 9.756, -12.380
192, 6.358, 11.514, -12.645
194, 6.362, 13.096, -12.761
196, 6.365, 14.590, -12.785
198, 6.369, 16.436, -13.090
200, 6.373, 18.105, -13.219
202, 6.377, 19.863, -13.420
204, 6.381, 21.357, -13.378
206, 6.384, 23.115, -13.567
208, 6.388, 24.785, -13.661
210, 6.392, 26.543, -13.815
212, 6.396, 28.213, -13.884
214, 6.399, 29.971, -14.017
216, 6.403, 31.729, -14.141
218, 6.407, 33.398, -14.183
220, 6.411, 35.068, -14.219
222, 6.414, 36.914, -14.396
224, 6.418, 38.672, -14.478
226, 6.422, 40.342, -14.491
228, 6.426, 42.188, -14.642
230, 6.429, 43.857, -14.633
232, 6.433, 45.615, -14.703
234, 6.437, 47.285, -14.692
236, 6.441, 49.043, -14.752
238, 6.444, 50.713, -14.738
240, 6.448, 52.471, -14.796
242, 6.452, 54.141, -14.777
244, 6.456, 55.811, -14.761
246, 6.459, 57.393, -14.675
248, 6.463, 59.062, -14.668
250, 6.467, 60.820, -14.725
252, 6.471, 62.227, -14.508
254, 6.475, 64.072, -14.656
256, 6.478, 65.654, -14.582
258, 6.482, 67.236, -14.512
260, 6.486, 68.730, -14.382
262, 6.490, 70.400, -14.398
264, 6.493, 71.982, -14.348
266, 6.497, 73.477, -14.231
268, 6.501, 75.146, -14.264
270, 6.505, 76.553, -14.080
272, 6.508, 78.047, -13.989
274, 6.512, 79.629, -13.975
276, 6.516, 81.035, -13.820
278, 6.520, 82.705, -13.891
280, 6.523, 84.199, -13.817
282, 6.527, 85.605, -13.668
284, 6.531, 87.188, -13.688
286, 6.535, 88.418, -13.419
288, 6.538, 90.088, -13.530
290, 6.542, 91.406, -13.340
292, 6.546, 93.076, -13.459
294, 6.550, 94.482, -13.352
296, 6.553, 96.064, -13.397
298, 6.557, 97.383, -13.219
300, 6.561, 98.789, -13.141
302, 6.565, 100.283, -13.126
304, 6.568, 101.689, -13.057
306, 6.572, 103.184, -13.057
308, 6.576, 104.590, -12.987
310, 6.580, 105.996, -12.925
312, 6.583, 107.578, -13.008
314, 6.587, 108.896, -12.875
316, 6.591, 110.479, -12.960
318, 6.595, 111.885, -12.898
320, 6.598, 113.379, -12.913
322, 6.602, 114.785, -12.856
324, 6.606, 116.191, -12.806
326, 6.610, 117.861, -12.966
328, 6.613, 119.355, -12.975
330, 6.617, 120.762, -12.911
332, 6.621, 122.432, -13.065
334, 6.625, 123.838, -12.993
336, 6.628, 125.508, -13.137
338, 6.632, 127.090, -13.198
340, 6.636, 128.584, -13.187
342, 6.640, 130.166, -13.247
344, 6.643, 131.924, -13.437
346, 6.647, 133.418, -13.401
348, 6.651, 135.088, -13.512
350, 6.655, 136.846, -13.680
352, 6.658, 138.428, -13.691
354, 6.662, 140.273, -13.914
356, 6.666, 141.855, -13.908
358, 6.670, 143.701, -14.105
360, 6.673, 145.371, -14.151
362, 6.677, 147.305, -14.400
364, 6.681, 149.062, -14.490
366, 6.685, 150.908, -14.634
368, 6.688, 152.842, -14.835
370, 6.692, 154.688, -14.960
372, 6.696, 156.533, -15.061
374, 6.700, 158.643, -15.366
376, 6.703, 160.664, -15.580
378, 6.707, 162.686, -15.771
380, 6.711, 164.619, -15.866
382, 6.715, 166.641, -16.036
384, 6.718, 168.750, -16.252
386, 6.722, 170.859, -16.448
388, 6.726, 172.969, -16.620
390, 6.730, 175.078, -16.795
392, 6.733, 177.451, -17.155
394, 6.737, 179.473, -17.195
396, 6.741, 181.846, -17.521
398, 6.745, 183.955, -17.605
400, 6.748, 186.152, -17.741
402, 6.752, 188.525, -18.028
404, 6.756, 190.723, -18.131
406, 6.759, 193.184, -18.439
408, 6.763, 195.381, -18.507
410, 6.767, 197.842, -18.779
412, 6.771, 200.039, -18.813
414, 6.774, 202.412, -18.990
416, 6.778, 204.785, -19.150
418, 6.782, 206.982, -19.160
420, 6.786, 209.268, -19.227
422, 6.789, 211.641, -19.365
424, 6.793, 214.014, -19.491
426, 6.797, 216.299, -19.532
428, 6.801, 218.408, -19.435
430, 6.804, 220.781, -19.554
432, 6.808, 222.891, -19.451
434, 6.812, 225.176, -19.497
436, 6.816, 227.285, -19.399
438, 6.819, 229.482, -19.386
440, 6.823, 231.592, -19.297
442, 6.827, 233.613, -19.148
444, 6.830, 235.635, -19.015
446, 6.834, 237.656, -18.890
448, 6.838, 239.766, -18.849
450, 6.842, 241.611, -18.601
452, 6.845, 243.457, -18.377
454, 6.849, 245.479, -18.316
456, 6.853, 247.324, -18.118
458, 6.857, 249.258, -18.004
460, 6.860, 251.016, -17.766
462, 6.864, 252.773, -17.548
464, 6.868, 254.443, -17.279
466, 6.872, 256.113, -17.034
468, 6.875, 257.959, -16.945
470, 6.879, 259.629, -16.738
472, 6.883, 261.211, -16.474
474, 6.886, 262.881, -16.292
476, 6.890, 264.551, -16.144
478, 6.894, 266.133, -15.933
480, 6.898, 267.627, -15.676
482, 6.901, 269.121, -15.434
484, 6.905, 270.791, -15.355
486, 6.909, 272.461, -15.288
488, 6.913, 273.867, -15.018
490, 6.916, 275.449, -14.909
492, 6.920, 276.943, -14.737
494, 6.924, 278.350, -14.519
496, 6.927, 279.932, -14.446
498, 6.931, 281.338, -14.257
500, 6.935, 283.008, -14.292
502, 6.939, 284.502, -14.179
504, 6.942, 285.996, -14.075
506, 6.946, 287.578, -14.055
508, 6.950, 289.072, -13.961
510, 6.953, 290.742, -14.021
512, 6.957, 292.324, -14.003
514, 6.961, 293.818, -13.917
516, 6.965, 295.312, -13.839
518, 6.968, 296.895, -13.831
520, 6.972, 298.477, -13.836
522, 6.976, 300.146, -13.905
524, 6.980, 301.904, -14.037
526, 6.983, 303.574, -14.087
528, 6.987, 305.244, -14.133
530, 6.991, 306.914, -14.178
532, 6.994, 308.672, -14.281
534, 6.998, 310.518, -14.451
536, 7.002, 312.363, -14.603
538, 7.006, 314.297, -14.814
540, 7.009, 316.055, -14.860
542, 7.013, 318.076, -15.118
544, 7.017, 320.010, -15.278
546, 7.020, 322.031, -15.496
548, 7.024, 324.141, -15.757
550, 7.028, 326.074, -15.861
552, 7.032, 328.359, -16.234
554, 7.035, 330.381, -16.365
556, 7.039, 332.490, -16.551
558, 7.043, 334.863, -16.932
560, 7.046, 337.148, -17.211
562, 7.050, 339.434, -17.462
564, 7.054, 341.631, -17.618
566, 7.058, 344.180, -18.033
568, 7.061, 346.553, -18.282
570, 7.065, 348.926, -18.506
572, 7.069, 351.738, -19.061
574, 7.072, 354.199, -19.281
576, 7.076, 356.748, -19.554
578, 7.080, 359.297, -19.787
580, 7.084, 2.021, -20.166
582, 7.087, 4.922, -20.636
584, 7.091, 7.295, -20.648
586, 7.095, 10.195, -21.066
588, 7.098, 12.832, -21.250
590, 7.102, 15.732, -21.624
592, 7.106, 18.369, -21.745
594, 7.109, 20.918, -21.800
596, 7.113, 23.818, -22.121
598, 7.117, 26.543, -22.265
600, 7.121, 29.443, -22.556
602, 7.124, 31.992, -22.531
604, 7.128, 34.805, -22.714
606, 7.132, 37.529, -22.815
608, 7.135, 40.078, -22.763
610, 7.139, 42.803, -22.863
612, 7.143, 45.439, -22.876
614, 7.146, 48.164, -22.959
616, 7.150, 50.801, -22.970
618, 7.154, 53.262, -22.835
620, 7.158, 55.811, -22.788
622, 7.161, 58.184, -22.599
624, 7.165, 60.732, -22.574
626, 7.169, 63.105, -22.401
628, 7.172, 65.566, -22.320
630, 7.176, 67.852, -22.110
632, 7.180, 70.137, -21.913
634, 7.183, 72.510, -21.808
636, 7.187, 74.707, -21.568
638, 7.191, 76.904, -21.356
640, 7.195, 79.014, -21.090
642, 7.198, 81.211, -20.917
644, 7.202, 83.408, -20.759
646, 7.206, 85.430, -20.480
648, 7.209, 87.539, -20.297
650, 7.213, 89.473, -19.987
652, 7.217, 91.670, -19.914
654, 7.220, 93.779, -19.781
656, 7.224, 95.801, -19.583
658, 7.228, 97.734, -19.343
660, 7.231, 99.580, -19.048
662, 7.235, 101.689, -18.991
664, 7.239, 103.711, -18.869
666, 7.243, 105.820, -18.834
668, 7.246, 107.754, -18.658
670, 7.250, 109.951, -18.702
672, 7.254, 111.709, -18.403
674, 7.257, 113.467, -18.126
676, 7.261, 115.488, -18.075
678, 7.265, 117.598, -18.117
680, 7.268, 119.707, -18.145
682, 7.272, 121.641, -18.033
684, 7.276, 123.662, -17.990
686, 7.279, 125.859, -18.109
688, 7.283, 127.881, -18.069
690, 7.287, 129.990, -18.093
692, 7.290, 132.188, -18.198
694, 7.294, 134.473, -18.357
696, 7.298, 136.670, -18.431
698, 7.301, 138.604, -18.302
700, 7.305, 141.064, -18.594
702, 7.309, 143.262, -18.652
704, 7.313, 145.811, -18.978
706, 7.316, 147.920, -18.927
708, 7.320, 150.293, -19.092
710, 7.324, 152.754, -19.311
712, 7.327, 155.303, -19.582
714, 7.331, 157.939, -19.895
716, 7.335, 160.576, -20.181
718, 7.338, 163.125, -20.365
720, 7.342, 165.586, -20.472
722, 7.346, 168.223, -20.705
724, 7.349, 171.123, -21.122
726, 7.353, 173.760, -21.297
728, 7.357, 176.660, -21.668
730, 7.360, 179.473, -21.931
732, 7.364, 182.373, -22.235
734, 7.368, 185.098, -22.387
736, 7.371, 187.998, -22.648
738, 7.375, 191.250, -23.172
740, 7.379, 194.062, -23.302
742, 7.382, 196.963, -23.475
744, 7.386, 199.775, -23.587
746, 7.390, 202.852, -23.886
748, 7.393, 205.752, -24.019
750, 7.397, 208.389, -23.926
752, 7.401, 211.553, -24.268
754, 7.404, 214.189, -24.152
756, 7.408, 217.178, -24.334
758, 7.412, 220.078, -24.423
760, 7.415, 222.715, -24.300
762, 7.419, 225.439, -24.246
764, 7.423, 227.988, -24.073
766, 7.426, 230.713, -24.050
768, 7.430, 233.350, -23.958
770, 7.434, 235.811, -23.736
772, 7.437, 238.359, -23.599
774, 7.441, 240.732, -23.334
776, 7.445, 243.105, -23.111
778, 7.448, 245.303, -22.746
780, 7.452, 247.764, -22.644
782, 7.456, 249.873, -22.263
784, 7.459, 252.158, -22.049
786, 7.463, 254.355, -21.795
788, 7.467, 256.289, -21.337
790, 7.470, 258.486, -21.154
792, 7.474, 260.508, -20.840
794, 7.478, 262.441, -20.471
796, 7.481, 264.463, -20.226
798, 7.485, 266.572, -20.064
800, 7.488, 268.330, -19.636
802, 7.492, 270.439, -19.528
804, 7.496, 272.109, -19.076
806, 7.499, 273.867, -18.740
808, 7.503, 275.889, -18.642
810, 7.507, 277.734, -18.413
812, 7.510, 279.668, -18.277
814, 7.514, 281.426, -18.011
816, 7.518, 283.184, -17.771
818, 7.521, 284.941, -17.555
820, 7.525, 286.787, -17.424
822, 7.529, 288.721, -17.371
824, 7.532, 290.479, -17.193
826, 7.536, 292.236, -17.024
828, 7.540, 294.170, -17.018
830, 7.543, 296.104, -17.002
832, 7.547, 297.949, -16.923
834, 7.550, 299.795, -16.853
836, 7.554, 301.904, -16.997
838, 7.558, 303.926, -17.058
840, 7.561, 305.859, -17.044
842, 7.565, 307.969, -17.170
844, 7.569, 309.814, -17.076
846, 7.572, 312.100, -17.336
848, 7.576, 314.033, -17.296
850, 7.580, 316.406, -17.610
852, 7.583, 318.604, -17.752
854, 7.587, 320.801, -17.885
856, 7.591, 323.086, -18.075
858, 7.594, 325.547, -18.386
860, 7.598, 328.184, -18.804
862, 7.601, 330.469, -18.902
864, 7.605, 333.105, -19.286
866, 7.609, 335.742, -19.628
868, 7.612, 338.291, -19.856
870, 7.616, 341.104, -20.298
872, 7.620, 343.740, -20.540
874, 7.623, 346.553, -20.913
876, 7.627, 349.453, -21.318
878, 7.630, 352.266, -21.614
880, 7.634, 355.166, -21.939
882, 7.638, 358.154, -22.325
884, 7.641, 1.230, -22.746
886, 7.645, 4.395, -23.173
888, 7.649, 7.646, -23.660
890, 7.652, 10.635, -23.885
892, 7.656, 13.711, -24.145
894, 7.659, 16.963, -24.550
896, 7.663, 20.303, -24.969
898, 7.667, 23.643, -25.346
900, 7.670, 26.631, -25.422
902, 7.674, 29.619, -25.480
904, 7.678, 32.871, -25.747
906, 7.681, 35.947, -25.852
908, 7.685, 38.936, -25.877
910, 7.688, 42.012, -25.965
912, 7.692, 45.088, -26.048
914, 7.696, 48.252, -26.196
916, 7.699, 50.977, -25.976
918, 7.703, 54.053, -26.058
920, 7.706, 56.865, -25.920
922, 7.710, 59.678, -25.801
924, 7.714, 62.402, -25.616
926, 7.717, 65.303, -25.598
928, 7.721, 67.676, -25.154
930, 7.725, 70.225, -24.893
932, 7.728, 73.037, -24.867
934, 7.732, 75.586, -24.634
936, 7.735, 78.223, -24.488
938, 7.739, 80.508, -24.075
940, 7.743, 83.057, -23.911
942, 7.746, 85.254, -23.487
944, 7.750, 87.627, -23.238
946, 7.753, 90.088, -23.079
948, 7.757, 92.461, -22.867
950, 7.761, 94.922, -22.743
952, 7.764, 97.119, -22.421
954, 7.768, 99.404, -22.197
956, 7.771, 101.602, -21.925
958, 7.775, 103.799, -21.681
960, 7.779, 106.172, -21.583
962, 7.782, 108.281, -21.308
964, 7.786, 110.654, -21.254
966, 7.789, 112.852, -21.056
968, 7.793, 115.049, -20.900
970, 7.797, 117.510, -20.953
972, 7.800, 119.707, -20.791
974, 7.804, 122.080, -20.787
976, 7.807, 124.277, -20.630
978, 7.811, 126.650, -20.649
980, 7.815, 129.111, -20.716
982, 7.818, 131.309, -20.593
984, 7.822, 133.857, -20.743
986, 7.825, 136.230, -20.744
988, 7.829, 138.867, -20.941
990, 7.833, 141.328, -21.002
992, 7.836, 143.877, -21.102
994, 7.840, 146.514, -21.298
996, 7.843, 149.062, -21.386
998, 7.847, 151.787, -21.602
1000, 7.851, 154.512, -21.810
1002, 7.854, 157.236, -21.986
1004, 7.858, 160.137, -22.294
1006, 7.861, 162.949, -22.503
1008, 7.865, 166.113, -22.971
1010, 7.868, 168.926, -23.118
1012, 7.872, 172.090, -23.528
1014, 7.876, 174.990, -23.691
1016, 7.879, 178.154, -24.050
1018, 7.883, 181.230, -24.314
1020, 7.886, 184.219, -24.469
1022, 7.890, 187.471, -24.831
1024, 7.893, 190.635, -25.084
1026, 7.897, 194.062, -25.528
1028, 7.901, 197.227, -25.710
1030, 7.904, 200.654, -26.104
1032, 7.908, 203.730, -26.172
1034, 7.911, 206.807, -26.236
1036, 7.915, 210.059, -26.437
1038, 7.919, 213.223, -26.551
1040, 7.922, 216.475, -26.715
1042, 7.926, 219.463, -26.661
1044, 7.929, 222.539, -26.686
1046, 7.933, 225.527, -26.628
1048, 7.936, 228.428, -26.514
1050, 7.940, 231.328, -26.405
1052, 7.943, 234.053, -26.170
1054, 7.947, 236.953, -26.094
1056, 7.951, 239.590, -25.816
1058, 7.954, 242.314, -25.627
1060, 7.958, 244.863, -25.328
1062, 7.961, 247.324, -24.982
1064, 7.965, 249.961, -24.799
1066, 7.968, 252.246, -24.371
1068, 7.972, 254.619, -24.038
1070, 7.976, 256.904, -23.653
1072, 7.979, 259.102, -23.264
1074, 7.983, 261.475, -23.029
1076, 7.986, 263.496, -22.544
1078, 7.990, 265.693, -22.231
1080, 7.993, 267.627, -21.755
1082, 7.997, 269.824, -21.525
1084, 8.000, 271.846, -21.176
1086, 8.004, 273.779, -20.781
1088, 8.008, 275.977, -20.645
1090, 8.011, 277.910, -20.286
1092, 8.015, 280.020, -20.134
1094, 8.018, 281.865, -19.768
1096, 8.022, 283.799, -19.508
1098, 8.025, 285.908, -19.411
1100, 8.029, 287.842, -19.184
1102, 8.032, 289.863, -19.047
1104, 8.036, 291.797, -18.852
1106, 8.040, 293.994, -18.882
1108, 8.043, 296.016, -18.771
1110, 8.047, 298.125, -18.741
1112, 8.050, 300.234, -18.715
1114, 8.054, 302.432, -18.754
1116, 8.057, 304.541, -18.729
1118, 8.061, 306.650, -18.700
1120, 8.064, 309.199, -19.024
1122, 8.068, 311.396, -19.040
1124, 8.071, 313.682, -19.126
1126, 8.075, 316.230, -19.408
1128, 8.078, 318.604, -19.533
1130, 8.082, 321.240, -19.849
1132, 8.086, 323.877, -20.141
1134, 8.089, 326.689, -20.542
1136, 8.093, 329.062, -20.557
1138, 8.096, 331.787, -20.848
1140, 8.100, 334.775, -21.333
1142, 8.103, 337.500, -21.560
1144, 8.107, 340.488, -21.970
1146, 8.110, 343.477, -22.350
1148, 8.114, 346.377, -22.619
1150, 8.117, 349.717, -23.215
1152, 8.121, 352.617, -23.413
1154, 8.124, 356.045, -24.008
1156, 8.128, 359.385, -24.461
1158, 8.131, 2.725, -24.906
1160, 8.135, 5.977, -25.221
1162, 8.138, 9.229, -25.504
1164, 8.142, 12.744, -25.984
1166, 8.146, 16.084, -26.274
1168, 8.149, 19.688, -26.730
1170, 8.153, 22.939, -26.892
1172, 8.156, 26.455, -27.236
1174, 8.160, 29.795, -27.429
1176, 8.163, 33.047, -27.516
1178, 8.167, 36.562, -27.805
1180, 8.170, 39.727, -27.783
1182, 8.174, 43.154, -27.995
1184, 8.177, 46.318, -27.963
1186, 8.181, 49.482, -27.925
1188, 8.184, 52.559, -27.840
1190, 8.188, 55.723, -27.819
1192, 8.191, 58.799, -27.731
1194, 8.195, 61.787, -27.585
1196, 8.198, 64.775, -27.443
1198, 8.202, 67.500, -27.120
1200, 8.205, 70.225, -26.823
1202, 8.209, 73.213, -26.758
1204, 8.212, 75.850, -26.413
1206, 8.216, 78.486, -26.115
1208, 8.219, 81.035, -25.762
1210, 8.223, 83.760, -25.588
1212, 8.226, 86.309, -25.285
1214, 8.230, 88.682, -24.870
1216, 8.233, 91.318, -24.704
1218, 8.237, 93.779, -24.416
1220, 8.240, 96.152, -24.080
1222, 8.244, 98.613, -23.849
1224, 8.247, 100.986, -23.559
1226, 8.251, 103.623, -23.517
1228, 8.254, 105.996, -23.260
1230, 8.258, 108.457, -23.099
1232, 8.261, 110.830, -22.888
1234, 8.265, 113.203, -22.692
1236, 8.268, 115.488, -22.447
1238, 8.272, 117.861, -22.291
1240, 8.275, 120.410, -22.291
1242, 8.279, 122.783, -22.141
1244, 8.282, 125.244, -22.088
1246, 8.286, 127.793, -22.106
1248, 8.289, 130.430, -22.193
1250, 8.293, 132.979, -22.201
1252, 8.296, 135.615, -22.272
1254, 8.300, 138.428, -22.473
1256, 8.303, 140.977, -22.466
1258, 8.307, 143.789, -22.653
1260, 8.310, 146.426, -22.682
1262, 8.313, 149.502, -23.069
1264, 8.317, 152.402, -23.277
1266, 8.320, 155.215, -23.387
1268, 8.324, 158.203, -23.645
1270, 8.327, 161.279, -23.936
1272, 8.331, 164.619, -24.416
1274, 8.334, 167.695, -24.628
1276, 8.338, 170.771, -24.842
1278, 8.341, 174.023, -25.174
1280, 8.345, 177.363, -25.522
1282, 8.348, 181.055, -26.147
1284, 8.352, 184.395, -26.395
1286, 8.355, 187.822, -26.734
1288, 8.359, 190.986, -26.801
1290, 8.362, 194.326, -27.043
1292, 8.366, 197.930, -27.443
1294, 8.369, 201.182, -27.532
1296, 8.372, 204.521, -27.677
1298, 8.376, 208.037, -27.958
1300, 8.379, 211.641, -28.276
1302, 8.383, 214.717, -28.150
1304, 8.386, 217.881, -28.100
1306, 8.390, 221.221, -28.207
1308, 8.393, 224.473, -28.223
1310, 8.397, 227.725, -28.241
1312, 8.400, 230.537, -27.910
1314, 8.404, 233.525, -27.739
1316, 8.407, 236.426, -27.526
1318, 8.411, 239.326, -27.331
1320, 8.414, 242.227, -27.146
1322, 8.417, 244.688, -26.637
1324, 8.421, 247.412, -26.370
1326, 8.424, 250.049, -26.072
1328, 8.428, 252.598, -25.737
1330, 8.431, 255.146, -25.417
1332, 8.435, 257.432, -24.918
1334, 8.438, 259.805, -24.541
1336, 8.442, 262.178, -24.194
1338, 8.445, 264.551, -23.884
1340, 8.448, 266.748, -23.457
1342, 8.452, 268.945, -23.070
1344, 8.455, 271.055, -22.654
1346, 8.459, 273.252, -22.341
1348, 8.462, 275.537, -22.121
1350, 8.466, 277.559, -21.724
1352, 8.469, 279.844, -21.560
1354, 8.473, 281.865, -21.194
1356, 8.476, 283.799, -20.815
1358, 8.479, 285.908, -20.596
1360, 8.483, 288.105, -20.471
1362, 8.486, 290.127, -20.215
1364, 8.490, 292.324, -20.120
1366, 8.493, 294.434, -19.959
1368, 8.497, 296.631, -19.899
1370, 8.500, 298.652, -19.695
1372, 8.503, 301.025, -19.794
1374, 8.507, 303.223, -19.729
1376, 8.510, 305.684, -19.901
1378, 8.514, 307.969, -19.906
1380, 8.517, 310.342, -19.969
1382, 8.520, 312.803, -20.118
1384, 8.524, 315.264, -20.247
1386, 8.527, 317.900, -20.512
1388, 8.531, 320.449, -20.681
1390, 8.534, 323.262, -21.033
1392, 8.538, 325.986, -21.287
1394, 8.541, 328.623, -21.441
1396, 8.544, 331.787, -22.006
1398, 8.548, 334.600, -22.247
1400, 8.551, 337.764, -22.732
1402, 8.555, 340.840, -23.112
1404, 8.558, 344.004, -23.521
1406, 8.561, 347.168, -23.895
1408, 8.565, 350.332, -24.237
1410, 8.568, 353.936, -24.898
1412, 8.572, 357.275, -25.286
1414, 8.575, 0.967, -25.920
1416, 8.579, 4.307, -26.213
1418, 8.582, 7.734, -26.557
1420, 8.585, 11.689, -27.281
1422, 8.589, 15.293, -27.662
1424, 8.592, 19.072, -28.151
1426, 8.596, 22.500, -28.310
1428, 8.599, 26.016, -28.526
1430, 8.602, 29.355, -28.588
1432, 8.606, 32.871, -28.780
1434, 8.609, 36.738, -29.239
1436, 8.612, 39.990, -29.166
1438, 8.616, 43.682, -29.449
1440, 8.619, 46.846, -29.286
1442, 8.623, 50.273, -29.349
1444, 8.626, 53.525, -29.259
1446, 8.629, 56.514, -28.968
1448, 8.633, 59.854, -28.993
1450, 8.636, 62.842, -28.728
1452, 8.640, 66.094, -28.708
1454, 8.643, 68.994, -28.387
1456, 8.646, 71.719, -27.977
1458, 8.650, 74.883, -27.949
1460, 8.653, 77.607, -27.556
1462, 8.657, 80.420, -27.300
1464, 8.660, 83.057, -26.909
1466, 8.663, 85.869, -26.701
1468, 8.667, 88.594, -26.438
1470, 8.670, 91.143, -26.062
1472, 8.673, 93.867, -25.846
1474, 8.677, 96.240, -25.397
1476, 8.680, 98.789, -25.106
1478, 8.684, 101.426, -24.910
1480, 8.687, 104.150, -24.824
1482, 8.690, 106.611, -24.529
1484, 8.694, 108.984, -24.166
1486, 8.697, 111.621, -24.078
1488, 8.700, 114.082, -23.847
1490, 8.704, 116.631, -23.705
1492, 8.707, 119.004, -23.436
1494, 8.710, 121.377, -23.190
1496, 8.714, 124.014, -23.174
1498, 8.717, 126.562, -23.096
1500, 8.721, 129.199, -23.086
1502, 8.724, 131.748, -23.016
1504, 8.727, 134.648, -23.225
1506, 8.731, 137.285, -23.212
1508, 8.734, 139.922, -23.191
1510, 8.737, 142.910, -23.461
1512, 8.741, 145.635, -23.490
1514, 8.744, 148.623, -23.730
1516, 8.747, 151.699, -24.019
1518, 8.751, 154.863, -24.347
1520, 8.754, 157.852, -24.508
1522, 8.757, 160.928, -24.721
1524, 8.761, 164.180, -25.055
1526, 8.764, 167.256, -25.220
1528, 8.767, 170.771, -25.724
1530, 8.771, 174.199, -26.105
1532, 8.774, 177.539, -26.387
1534, 8.778, 181.143, -26.846
1536, 8.781, 184.658, -27.199
1538, 8.784, 188.262, -27.586
1540, 8.788, 191.777, -27.870
1542, 8.791, 195.557, -28.340
1544, 8.794, 199.160, -28.622
1546, 8.798, 202.764, -28.887
1548, 8.801, 206.367, -29.121
1550, 8.804, 209.707, -29.127
1552, 8.808, 213.486, -29.479
1554, 8.811, 216.738, -29.372
1556, 8.814, 220.254, -29.502
1558, 8.818, 223.418, -29.335
1560, 8.821, 227.021, -29.514
1562, 8.824, 230.186, -29.360
1564, 8.828, 233.174, -29.059
1566, 8.831, 236.338, -28.940
1568, 8.834, 239.414, -28.750
1570, 8.837, 242.490, -28.582
1572, 8.841, 245.303, -28.205
1574, 8.844, 247.852, -27.681
1576, 8.847, 250.576, -27.331
1578, 8.851, 253.125, -26.856
1580, 8.854, 255.674, -26.451
1582, 8.857, 258.311, -26.145
1584, 8.861, 260.684, -25.642
1586, 8.864, 263.232, -25.341
1588, 8.867, 265.518, -24.862
1590, 8.871, 267.803, -24.412
1592, 8.874, 270.088, -24.011
1594, 8.877, 272.461, -23.718
1596, 8.881, 274.570, -23.234
1598, 8.884, 276.768, -22.870
1600, 8.887, 279.229, -22.738
1602, 8.891, 281.426, -22.424
1604, 8.894, 283.535, -22.060
1606, 8.897, 285.645, -21.734
